idPaciente,nombre,apellido,dui,telefono
1,Felice,Salmon,98092906,244-725-1150
2,Danny,Benezet,49445910,982-655-1579
3,Ximenez,Connow,32077917,200-971-9665
4,Jdavie,Stockwell,11777736,971-633-0896
5,Kliment,Odgaard,51349309,984-980-7470
6,Zabrina,Hofton,70585735,672-772-1900
7,Leonardo,L'Archer,61865775,813-318-5870
8,Silvie,Forder,36202253,812-512-1758
9,Dominique,Thridgould,61796518,410-360-7557
10,Merralee,Jantel,95704155,722-841-3732
11,Chryste,Rolland,65111863,646-641-1057
12,Josi,Louisot,34329175,681-801-4754
13,Heywood,MacAlester,20035993,758-956-9171
14,Franciska,Wann,93728167,700-919-5100
15,Osbert,Sinnett,80729551,516-343-2663
16,Salome,Clowney,41143158,531-230-9919
17,Gal,Grimwood,47475504,921-304-1513
18,Eloisa,Grandison,58108589,379-635-9131
19,Tine,Ockenden,19912861,938-264-9372
20,Ken,Crannach,20030452,529-295-0239
21,Vasily,Lecointe,57762816,166-898-2976
22,Fannie,Bernardoux,50704393,321-944-6509
23,Kristien,Whittenbury,10159024,682-480-1500
24,Annaliese,Collicott,20358167,300-983-5595
25,Jory,Dubose,59697368,789-384-4967
26,Silvain,Grayland,35734262,236-200-5716
27,Claudetta,Blackstone,16915497,414-572-7680
28,Millicent,Shefton,21007478,494-426-6803
29,Pascale,Ludovico,35345341,595-244-7572
30,Ancell,Grass,30204771,747-704-2690
31,Jeane,Bennedick,60003066,678-507-7852
32,Ancell,Hebard,21493030,671-609-2148
33,Jayme,Jurisic,90604863,359-619-2818
34,Kassia,Rogeon,20198054,722-690-3122
35,Isidora,Goggin,10228096,373-432-1369
36,Wells,Koppel,78917542,551-700-5183
37,Freddi,Hawtry,63520914,493-699-4359
38,Georgianna,McGrae,50169358,452-650-1892
39,Enoch,Colquite,22605324,739-938-6601
40,Orton,Brandsen,77664592,992-471-5555
41,Burty,McInnery,93389240,322-816-3341
42,Lois,Beauman,42594844,351-525-6915
43,Ignace,Perche,74297572,574-118-0789
44,Glennie,Gaffney,82760386,691-796-3265
45,Josh,Chasier,45014106,932-175-3336
46,Rhea,Woolmington,31872054,146-487-9608
47,Kiah,Greenset,34317008,160-279-2568
48,Tyson,Reddel,41392285,267-163-5476
49,Bret,Friatt,65622006,313-542-5956
50,Leora,Howgill,14923600,137-785-4496
51,Isidora,Ambrogini,75181722,947-193-8598
52,Aurelia,Kunc,40753172,967-705-7597
53,Bernie,Keys,85788367,707-383-7936
54,Cesare,Wrankling,10235447,797-282-3650
55,Lonnie,Brunsen,25978602,381-453-6378
56,Mora,Eddisforth,80100718,262-644-8617
57,Sara,Urwen,51063175,429-821-3319
58,Deloris,Growden,90321339,427-622-3131
59,Christiana,Ciccarelli,21739521,695-619-8017
60,Farra,Wines,11166835,269-355-5304
61,Mead,Siemandl,57640984,463-919-7065
62,Shanda,Stride,40684666,374-909-8182
63,Brenden,Smillie,88399756,970-350-7162
64,Sheilakathryn,Scottrell,62375586,210-942-2068
65,Megen,Halvorsen,74655320,430-206-8468
66,Cad,McDirmid,52903838,656-683-9800
67,Orren,Culshaw,11792698,710-511-3328
68,Karina,Raggatt,66621777,733-527-0960
69,Berne,Chatten,27953618,141-153-4891
70,Sybil,Taplin,31854096,735-675-3301
71,Karyl,Tunniclisse,34059126,685-768-9237
